[0916/110258.542:INFO:CONSOLE(139)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yR/r/F4aE0FqxgkJ.js?_nc_x=Ij3Wp8lg5Kz (139)
[0916/110258.792:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Feature xr-spatial-tracking's parameters are ignored.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'attribution-reporting'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'compute-pressure'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'interest-cohort'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-issuance'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Origin trial controlled feature not enabled: 'shared-storage'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'shared-storage-select-url'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'private-state-token-redemption'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'unload'.", source:  (0)
[0916/110258.793:INFO:CONSOLE(0)] "Error with Permissions-Policy header: Unrecognized feature: 'window-management'.", source:  (0)
[0916/110304.220:INFO:CONSOLE(343)] "WAWebLoggerWorker initialized", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110304.220:INFO:CONSOLE(343)] "[storage] start setSchemaVersions from fts worker interface", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110304.220:INFO:CONSOLE(343)] "[storage] set schema versions: [model-storage,158,fts-storage,8,jobs-storage,1,lru-media-storage-idb,2,offd-storage,4,qpl-storage,0,signal-storage,6,worker-storage,1,sw,2,wawc,14,wawc_db_enc,2]. is worker? true", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.812:INFO:CONSOLE(343)] "FTS:Delegate: start indexer", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.812:INFO:CONSOLE(343)] "FTS:Delegate: start perform init", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.813:INFO:CONSOLE(343)] "FTS:Delegate: schema versions ready", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.813:INFO:CONSOLE(343)] "FTS:Delegate: before db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.813:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 8] for the database: 'fts-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
